PassengerId,Sex,Pclass,Age,Family,Fare,Embarked,Survived
1,male,3,22,1,7.25,S,0
2,female,1,38,1,71.2833,C,1
3,female,3,26,0,7.925,S,1
4,female,1,35,1,53.1,S,1
5,male,3,35,0,8.05,S,0
6,male,3,,0,8.4583,Q,0
7,male,1,54,0,51.8625,S,0
8,male,3,2,4,21.075,S,0
9,female,3,27,2,11.1333,S,1
10,female,2,14,1,30.0708,C,1
11,female,3,4,2,16.7,S,1
12,female,1,58,0,26.55,S,1
13,male,3,20,0,8.05,S,0
14,male,3,39,6,31.275,S,0
15,female,3,14,0,7.8542,S,0
16,female,2,55,0,16,S,1
17,male,3,2,5,29.125,Q,0
18,male,2,,0,13,S,1
19,female,3,31,1,18,S,0
20,female,3,,0,7.225,C,1
21,male,2,35,0,26,S,0
22,male,2,34,0,13,S,1
23,female,3,15,0,8.0292,Q,1
24,male,1,28,0,35.5,S,1
25,female,3,8,4,21.075,S,0
26,female,3,38,6,31.3875,S,1
27,male,3,,0,7.225,C,0
28,male,1,19,5,263,S,0
29,female,3,,0,7.8792,Q,1
30,male,3,,0,7.8958,S,0
31,male,1,40,0,27.7208,C,0
32,female,1,,1,146.5208,C,1
33,female,3,,0,7.75,Q,1
34,male,2,66,0,10.5,S,0
35,male,1,28,1,82.1708,C,0
36,male,1,42,1,52,S,0
37,male,3,,0,7.2292,C,1
38,male,3,21,0,8.05,S,0
39,female,3,18,2,18,S,0
40,female,3,14,1,11.2417,C,1
41,female,3,40,1,9.475,S,0
42,female,2,27,1,21,S,0
43,male,3,,0,7.8958,C,0
44,female,2,3,3,41.5792,C,1
45,female,3,19,0,7.8792,Q,1
46,male,3,,0,8.05,S,0
47,male,3,,1,15.5,Q,0
48,female,3,,0,7.75,Q,1
49,male,3,,2,21.6792,C,0
50,female,3,18,1,17.8,S,0
51,male,3,7,5,39.6875,S,0
52,male,3,21,0,7.8,S,0
53,female,1,49,1,76.7292,C,1
54,female,2,29,1,26,S,1
55,male,1,65,1,61.9792,C,0
56,male,1,,0,35.5,S,1
57,female,2,21,0,10.5,S,1
58,male,3,28.5,0,7.2292,C,0
59,female,2,5,3,27.75,S,1
60,male,3,11,7,46.9,S,0
61,male,3,22,0,7.2292,C,0
62,female,1,38,0,80,S,1
63,male,1,45,1,83.475,S,0
64,male,3,4,5,27.9,S,0
65,male,1,,0,27.7208,C,0
66,male,3,,2,15.2458,C,1
67,female,2,29,0,10.5,S,1
68,male,3,19,0,8.1583,S,0
69,female,3,17,6,7.925,S,1
70,male,3,26,2,8.6625,S,0
71,male,2,32,0,10.5,S,0
72,female,3,16,7,46.9,S,0
73,male,2,21,0,73.5,S,0
74,male,3,26,1,14.4542,C,0
75,male,3,32,0,56.4958,S,1
76,male,3,25,0,7.65,S,0
77,male,3,,0,7.8958,S,0
78,male,3,,0,8.05,S,0
79,male,2,0.83,2,29,S,1
80,female,3,30,0,12.475,S,1
81,male,3,22,0,9,S,0
82,male,3,29,0,9.5,S,1
83,female,3,,0,7.7875,Q,1
84,male,1,28,0,47.1,S,0
85,female,2,17,0,10.5,S,1
86,female,3,33,3,15.85,S,1
87,male,3,16,4,34.375,S,0
88,male,3,,0,8.05,S,0
89,female,1,23,5,263,S,1
90,male,3,24,0,8.05,S,0
91,male,3,29,0,8.05,S,0
92,male,3,20,0,7.8542,S,0
93,male,1,46,1,61.175,S,0
94,male,3,26,3,20.575,S,0
95,male,3,59,0,7.25,S,0
96,male,3,,0,8.05,S,0
97,male,1,71,0,34.6542,C,0
98,male,1,23,1,63.3583,C,1
99,female,2,34,1,23,S,1
100,male,2,34,1,26,S,0
101,female,3,28,0,7.8958,S,0
102,male,3,,0,7.8958,S,0
103,male,1,21,1,77.2875,S,0
104,male,3,33,0,8.6542,S,0
105,male,3,37,2,7.925,S,0
106,male,3,28,0,7.8958,S,0
107,female,3,21,0,7.65,S,1
108,male,3,,0,7.775,S,1
109,male,3,38,0,7.8958,S,0
110,female,3,,1,24.15,Q,1
111,male,1,47,0,52,S,0
112,female,3,14.5,1,14.4542,C,0
113,male,3,22,0,8.05,S,0
114,female,3,20,1,9.825,S,0
115,female,3,17,0,14.4583,C,0
116,male,3,21,0,7.925,S,0
117,male,3,70.5,0,7.75,Q,0
118,male,2,29,1,21,S,0
119,male,1,24,1,247.5208,C,0
120,female,3,2,6,31.275,S,0
121,male,2,21,2,73.5,S,0
122,male,3,,0,8.05,S,0
123,male,2,32.5,1,30.0708,C,0
124,female,2,32.5,0,13,S,1
125,male,1,54,1,77.2875,S,0
126,male,3,12,1,11.2417,C,1
127,male,3,,0,7.75,Q,0
128,male,3,24,0,7.1417,S,1
129,female,3,,2,22.3583,C,1
130,male,3,45,0,6.975,S,0
131,male,3,33,0,7.8958,C,0
132,male,3,20,0,7.05,S,0
133,female,3,47,1,14.5,S,0
134,female,2,29,1,26,S,1
135,male,2,25,0,13,S,0
136,male,2,23,0,15.0458,C,0
137,female,1,19,2,26.2833,S,1
138,male,1,37,1,53.1,S,0
139,male,3,16,0,9.2167,S,0
140,male,1,24,0,79.2,C,0
141,female,3,,2,15.2458,C,0
142,female,3,22,0,7.75,S,1
143,female,3,24,1,15.85,S,1
144,male,3,19,0,6.75,Q,0
145,male,2,18,0,11.5,S,0
146,male,2,19,2,36.75,S,0
147,male,3,27,0,7.7958,S,1
148,female,3,9,4,34.375,S,0
149,male,2,36.5,2,26,S,0
150,male,2,42,0,13,S,0
151,male,2,51,0,12.525,S,0
152,female,1,22,1,66.6,S,1
153,male,3,55.5,0,8.05,S,0
154,male,3,40.5,2,14.5,S,0
155,male,3,,0,7.3125,S,0
156,male,1,51,1,61.3792,C,0
157,female,3,16,0,7.7333,Q,1
158,male,3,30,0,8.05,S,0
159,male,3,,0,8.6625,S,0
160,male,3,,10,69.55,S,0
161,male,3,44,1,16.1,S,0
162,female,2,40,0,15.75,S,1
163,male,3,26,0,7.775,S,0
164,male,3,17,0,8.6625,S,0
165,male,3,1,5,39.6875,S,0
166,male,3,9,2,20.525,S,1
167,female,1,,1,55,S,1
168,female,3,45,5,27.9,S,0
169,male,1,,0,25.925,S,0
170,male,3,28,0,56.4958,S,0
171,male,1,61,0,33.5,S,0
172,male,3,4,5,29.125,Q,0
173,female,3,1,2,11.1333,S,1
174,male,3,21,0,7.925,S,0
175,male,1,56,0,30.6958,C,0
176,male,3,18,2,7.8542,S,0
177,male,3,,4,25.4667,S,0
178,female,1,50,0,28.7125,C,0
179,male,2,30,0,13,S,0
180,male,3,36,0,0,S,0
181,female,3,,10,69.55,S,0
182,male,2,,0,15.05,C,0
183,male,3,9,6,31.3875,S,0
184,male,2,1,3,39,S,1
185,female,3,4,2,22.025,S,1
186,male,1,,0,50,S,0
187,female,3,,1,15.5,Q,1
188,male,1,45,0,26.55,S,1
189,male,3,40,2,15.5,Q,0
190,male,3,36,0,7.8958,S,0
191,female,2,32,0,13,S,1
192,male,2,19,0,13,S,0
193,female,3,19,1,7.8542,S,1
194,male,2,3,2,26,S,1
195,female,1,44,0,27.7208,C,1
196,female,1,58,0,146.5208,C,1
197,male,3,,0,7.75,Q,0
198,male,3,42,1,8.4042,S,0
199,female,3,,0,7.75,Q,1
200,female,2,24,0,13,S,0
201,male,3,28,0,9.5,S,0
202,male,3,,10,69.55,S,0
203,male,3,34,0,6.4958,S,0
204,male,3,45.5,0,7.225,C,0
205,male,3,18,0,8.05,S,1
206,female,3,2,1,10.4625,S,0
207,male,3,32,1,15.85,S,0
208,male,3,26,0,18.7875,C,1
209,female,3,16,0,7.75,Q,1
210,male,1,40,0,31,C,1
211,male,3,24,0,7.05,S,0
212,female,2,35,0,21,S,1
213,male,3,22,0,7.25,S,0
214,male,2,30,0,13,S,0
215,male,3,,1,7.75,Q,0
216,female,1,31,1,113.275,C,1
217,female,3,27,0,7.925,S,1
218,male,2,42,1,27,S,0
219,female,1,32,0,76.2917,C,1
220,male,2,30,0,10.5,S,0
221,male,3,16,0,8.05,S,1
222,male,2,27,0,13,S,0
223,male,3,51,0,8.05,S,0
224,male,3,,0,7.8958,S,0
225,male,1,38,1,90,S,1
226,male,3,22,0,9.35,S,0
227,male,2,19,0,10.5,S,1
228,male,3,20.5,0,7.25,S,0
229,male,2,18,0,13,S,0
230,female,3,,4,25.4667,S,0
231,female,1,35,1,83.475,S,1
232,male,3,29,0,7.775,S,0
233,male,2,59,0,13.5,S,0
234,female,3,5,6,31.3875,S,1
235,male,2,24,0,10.5,S,0
236,female,3,,0,7.55,S,0
237,male,2,44,1,26,S,0
238,female,2,8,2,26.25,S,1
239,male,2,19,0,10.5,S,0
240,male,2,33,0,12.275,S,0
241,female,3,,1,14.4542,C,0
242,female,3,,1,15.5,Q,1
243,male,2,29,0,10.5,S,0
244,male,3,22,0,7.125,S,0
245,male,3,30,0,7.225,C,0
246,male,1,44,2,90,Q,0
247,female,3,25,0,7.775,S,0
248,female,2,24,2,14.5,S,1
249,male,1,37,2,52.5542,S,1
250,male,2,54,1,26,S,0
251,male,3,,0,7.25,S,0
252,female,3,29,2,10.4625,S,0
253,male,1,62,0,26.55,S,0
254,male,3,30,1,16.1,S,0
255,female,3,41,2,20.2125,S,0
256,female,3,29,2,15.2458,C,1
257,female,1,,0,79.2,C,1
258,female,1,30,0,86.5,S,1
259,female,1,35,0,512.3292,C,1
260,female,2,50,1,26,S,1
261,male,3,,0,7.75,Q,0
262,male,3,3,6,31.3875,S,1
263,male,1,52,2,79.65,S,0
264,male,1,40,0,0,S,0
265,female,3,,0,7.75,Q,0
266,male,2,36,0,10.5,S,0
267,male,3,16,5,39.6875,S,0
268,male,3,25,1,7.775,S,1
269,female,1,58,1,153.4625,S,1
270,female,1,35,0,135.6333,S,1
271,male,1,,0,31,S,0
272,male,3,25,0,0,S,1
273,female,2,41,1,19.5,S,1
274,male,1,37,1,29.7,C,0
275,female,3,,0,7.75,Q,1
276,female,1,63,1,77.9583,S,1
277,female,3,45,0,7.75,S,0
278,male,2,,0,0,S,0
279,male,3,7,5,29.125,Q,0
280,female,3,35,2,20.25,S,1
281,male,3,65,0,7.75,Q,0
282,male,3,28,0,7.8542,S,0
283,male,3,16,0,9.5,S,0
284,male,3,19,0,8.05,S,1
285,male,1,,0,26,S,0
286,male,3,33,0,8.6625,C,0
287,male,3,30,0,9.5,S,1
288,male,3,22,0,7.8958,S,0
289,male,2,42,0,13,S,1
290,female,3,22,0,7.75,Q,1
291,female,1,26,0,78.85,S,1
292,female,1,19,1,91.0792,C,1
293,male,2,36,0,12.875,C,0
294,female,3,24,0,8.85,S,0
295,male,3,24,0,7.8958,S,0
296,male,1,,0,27.7208,C,0
297,male,3,23.5,0,7.2292,C,0
298,female,1,2,3,151.55,S,0
299,male,1,,0,30.5,S,1
300,female,1,50,1,247.5208,C,1
301,female,3,,0,7.75,Q,1
302,male,3,,2,23.25,Q,1
303,male,3,19,0,0,S,0
304,female,2,,0,12.35,Q,1
305,male,3,,0,8.05,S,0
306,male,1,0.92,3,151.55,S,1
307,female,1,,0,110.8833,C,1
308,female,1,17,1,108.9,C,1
309,male,2,30,1,24,C,0
310,female,1,30,0,56.9292,C,1
311,female,1,24,0,83.1583,C,1
312,female,1,18,4,262.375,C,1
313,female,2,26,2,26,S,0
314,male,3,28,0,7.8958,S,0
315,male,2,43,2,26.25,S,0
316,female,3,26,0,7.8542,S,1
317,female,2,24,1,26,S,1
318,male,2,54,0,14,S,0
319,female,1,31,2,164.8667,S,1
320,female,1,40,2,134.5,C,1
321,male,3,22,0,7.25,S,0
322,male,3,27,0,7.8958,S,0
323,female,2,30,0,12.35,Q,1
324,female,2,22,2,29,S,1
325,male,3,,10,69.55,S,0
326,female,1,36,0,135.6333,C,1
327,male,3,61,0,6.2375,S,0
328,female,2,36,0,13,S,1
329,female,3,31,2,20.525,S,1
330,female,1,16,1,57.9792,C,1
331,female,3,,2,23.25,Q,1
332,male,1,45.5,0,28.5,S,0
333,male,1,38,1,153.4625,S,0
334,male,3,16,2,18,S,0
335,female,1,,1,133.65,S,1
336,male,3,,0,7.8958,S,0
337,male,1,29,1,66.6,S,0
338,female,1,41,0,134.5,C,1
339,male,3,45,0,8.05,S,1
340,male,1,45,0,35.5,S,0
341,male,2,2,2,26,S,1
342,female,1,24,5,263,S,1
343,male,2,28,0,13,S,0
344,male,2,25,0,13,S,0
345,male,2,36,0,13,S,0
346,female,2,24,0,13,S,1
347,female,2,40,0,13,S,1
348,female,3,,1,16.1,S,1
349,male,3,3,2,15.9,S,1
350,male,3,42,0,8.6625,S,0
351,male,3,23,0,9.225,S,0
352,male,1,,0,35,S,0
353,male,3,15,2,7.2292,C,0
354,male,3,25,1,17.8,S,0
355,male,3,,0,7.225,C,0
356,male,3,28,0,9.5,S,0
357,female,1,22,1,55,S,1
358,female,2,38,0,13,S,0
359,female,3,,0,7.8792,Q,1
360,female,3,,0,7.8792,Q,1
361,male,3,40,5,27.9,S,0
362,male,2,29,1,27.7208,C,0
363,female,3,45,1,14.4542,C,0
364,male,3,35,0,7.05,S,0
365,male,3,,1,15.5,Q,0
366,male,3,30,0,7.25,S,0
367,female,1,60,1,75.25,C,1
368,female,3,,0,7.2292,C,1
369,female,3,,0,7.75,Q,1
370,female,1,24,0,69.3,C,1
371,male,1,25,1,55.4417,C,1
372,male,3,18,1,6.4958,S,0
373,male,3,19,0,8.05,S,0
374,male,1,22,0,135.6333,C,0
375,female,3,3,4,21.075,S,0
376,female,1,,1,82.1708,C,1
377,female,3,22,0,7.25,S,1
378,male,1,27,2,211.5,C,0
379,male,3,20,0,4.0125,C,0
380,male,3,19,0,7.775,S,0
381,female,1,42,0,227.525,C,1
382,female,3,1,2,15.7417,C,1
383,male,3,32,0,7.925,S,0
384,female,1,35,1,52,S,1
385,male,3,,0,7.8958,S,0
386,male,2,18,0,73.5,S,0
387,male,3,1,7,46.9,S,0
388,female,2,36,0,13,S,1
389,male,3,,0,7.7292,Q,0
390,female,2,17,0,12,C,1
391,male,1,36,3,120,S,1
392,male,3,21,0,7.7958,S,1
393,male,3,28,2,7.925,S,0
394,female,1,23,1,113.275,C,1
395,female,3,24,2,16.7,S,1
396,male,3,22,0,7.7958,S,0
397,female,3,31,0,7.8542,S,0
398,male,2,46,0,26,S,0
399,male,2,23,0,10.5,S,0
400,female,2,28,0,12.65,S,1
401,male,3,39,0,7.925,S,1
402,male,3,26,0,8.05,S,0
403,female,3,21,1,9.825,S,0
404,male,3,28,1,15.85,S,0
405,female,3,20,0,8.6625,S,0
406,male,2,34,1,21,S,0
407,male,3,51,0,7.75,S,0
408,male,2,3,2,18.75,S,1
409,male,3,21,0,7.775,S,0
410,female,3,,4,25.4667,S,0
411,male,3,,0,7.8958,S,0
412,male,3,,0,6.8583,Q,0
413,female,1,33,1,90,Q,1
414,male,2,,0,0,S,0
415,male,3,44,0,7.925,S,1
416,female,3,,0,8.05,S,0
417,female,2,34,2,32.5,S,1
418,female,2,18,2,13,S,1
419,male,2,30,0,13,S,0
420,female,3,10,2,24.15,S,0
421,male,3,,0,7.8958,C,0
422,male,3,21,0,7.7333,Q,0
423,male,3,29,0,7.875,S,0
424,female,3,28,2,14.4,S,0
425,male,3,18,2,20.2125,S,0
426,male,3,,0,7.25,S,0
427,female,2,28,1,26,S,1
428,female,2,19,0,26,S,1
429,male,3,,0,7.75,Q,0
430,male,3,32,0,8.05,S,1
431,male,1,28,0,26.55,S,1
432,female,3,,1,16.1,S,1
433,female,2,42,1,26,S,1
434,male,3,17,0,7.125,S,0
435,male,1,50,1,55.9,S,0
436,female,1,14,3,120,S,1
437,female,3,21,4,34.375,S,0
438,female,2,24,5,18.75,S,1
439,male,1,64,5,263,S,0
440,male,2,31,0,10.5,S,0
441,female,2,45,2,26.25,S,1
442,male,3,20,0,9.5,S,0
443,male,3,25,1,7.775,S,0
444,female,2,28,0,13,S,1
445,male,3,,0,8.1125,S,1
446,male,1,4,2,81.8583,S,1
447,female,2,13,1,19.5,S,1
448,male,1,34,0,26.55,S,1
449,female,3,5,3,19.2583,C,1
450,male,1,52,0,30.5,S,1
451,male,2,36,3,27.75,S,0
452,male,3,,1,19.9667,S,0
453,male,1,30,0,27.75,C,0
454,male,1,49,1,89.1042,C,1
455,male,3,,0,8.05,S,0
456,male,3,29,0,7.8958,C,1
457,male,1,65,0,26.55,S,0
458,female,1,,1,51.8625,S,1
459,female,2,50,0,10.5,S,1
460,male,3,,0,7.75,Q,0
461,male,1,48,0,26.55,S,1
462,male,3,34,0,8.05,S,0
463,male,1,47,0,38.5,S,0
464,male,2,48,0,13,S,0
465,male,3,,0,8.05,S,0
466,male,3,38,0,7.05,S,0
467,male,2,,0,0,S,0
468,male,1,56,0,26.55,S,0
469,male,3,,0,7.725,Q,0
470,female,3,0.75,3,19.2583,C,1
471,male,3,,0,7.25,S,0
472,male,3,38,0,8.6625,S,0
473,female,2,33,3,27.75,S,1
474,female,2,23,0,13.7917,C,1
475,female,3,22,0,9.8375,S,0
476,male,1,,0,52,S,0
477,male,2,34,1,21,S,0
478,male,3,29,1,7.0458,S,0
479,male,3,22,0,7.5208,S,0
480,female,3,2,1,12.2875,S,1
481,male,3,9,7,46.9,S,0
482,male,2,,0,0,S,0
483,male,3,50,0,8.05,S,0
484,female,3,63,0,9.5875,S,1
485,male,1,25,1,91.0792,C,1
486,female,3,,4,25.4667,S,0
487,female,1,35,1,90,S,1
488,male,1,58,0,29.7,C,0
489,male,3,30,0,8.05,S,0
490,male,3,9,2,15.9,S,1
491,male,3,,1,19.9667,S,0
492,male,3,21,0,7.25,S,0
493,male,1,55,0,30.5,S,0
494,male,1,71,0,49.5042,C,0
495,male,3,21,0,8.05,S,0
496,male,3,,0,14.4583,C,0
497,female,1,54,1,78.2667,C,1
498,male,3,,0,15.1,S,0
499,female,1,25,3,151.55,S,0
500,male,3,24,0,7.7958,S,0
501,male,3,17,0,8.6625,S,0
502,female,3,21,0,7.75,Q,0
503,female,3,,0,7.6292,Q,0
504,female,3,37,0,9.5875,S,0
505,female,1,16,0,86.5,S,1
506,male,1,18,1,108.9,C,0
507,female,2,33,2,26,S,1
508,male,1,,0,26.55,S,1
509,male,3,28,0,22.525,S,0
510,male,3,26,0,56.4958,S,1
511,male,3,29,0,7.75,Q,1
512,male,3,,0,8.05,S,0
513,male,1,36,0,26.2875,S,1
514,female,1,54,1,59.4,C,1
515,male,3,24,0,7.4958,S,0
516,male,1,47,0,34.0208,S,0
517,female,2,34,0,10.5,S,1
518,male,3,,0,24.15,Q,0
519,female,2,36,1,26,S,1
520,male,3,32,0,7.8958,S,0
521,female,1,30,0,93.5,S,1
522,male,3,22,0,7.8958,S,0
523,male,3,,0,7.225,C,0
524,female,1,44,1,57.9792,C,1
525,male,3,,0,7.2292,C,0
526,male,3,40.5,0,7.75,Q,0
527,female,2,50,0,10.5,S,1
528,male,1,,0,221.7792,S,0
529,male,3,39,0,7.925,S,0
530,male,2,23,3,11.5,S,0
531,female,2,2,2,26,S,1
532,male,3,,0,7.2292,C,0
533,male,3,17,2,7.2292,C,0
534,female,3,,2,22.3583,C,1
535,female,3,30,0,8.6625,S,0
536,female,2,7,2,26.25,S,1
537,male,1,45,0,26.55,S,0
538,female,1,30,0,106.425,C,1
539,male,3,,0,14.5,S,0
540,female,1,22,2,49.5,C,1
541,female,1,36,2,71,S,1
542,female,3,9,6,31.275,S,0
543,female,3,11,6,31.275,S,0
544,male,2,32,1,26,S,1
545,male,1,50,1,106.425,C,0
546,male,1,64,0,26,S,0
547,female,2,19,1,26,S,1
548,male,2,,0,13.8625,C,1
549,male,3,33,2,20.525,S,0
550,male,2,8,2,36.75,S,1
551,male,1,17,2,110.8833,C,1
552,male,2,27,0,26,S,0
553,male,3,,0,7.8292,Q,0
554,male,3,22,0,7.225,C,1
555,female,3,22,0,7.775,S,1
556,male,1,62,0,26.55,S,0
557,female,1,48,1,39.6,C,1
558,male,1,,0,227.525,C,0
559,female,1,39,2,79.65,S,1
560,female,3,36,1,17.4,S,1
561,male,3,,0,7.75,Q,0
562,male,3,40,0,7.8958,S,0
563,male,2,28,0,13.5,S,0
564,male,3,,0,8.05,S,0
565,female,3,,0,8.05,S,0
566,male,3,24,2,24.15,S,0
567,male,3,19,0,7.8958,S,0
568,female,3,29,4,21.075,S,0
569,male,3,,0,7.2292,C,0
570,male,3,32,0,7.8542,S,1
571,male,2,62,0,10.5,S,1
572,female,1,53,2,51.4792,S,1
573,male,1,36,0,26.3875,S,1
574,female,3,,0,7.75,Q,1
575,male,3,16,0,8.05,S,0
576,male,3,19,0,14.5,S,0
577,female,2,34,0,13,S,1
578,female,1,39,1,55.9,S,1
579,female,3,,1,14.4583,C,0
580,male,3,32,0,7.925,S,1
581,female,2,25,2,30,S,1
582,female,1,39,2,110.8833,C,1
583,male,2,54,0,26,S,0
584,male,1,36,0,40.125,C,0
585,male,3,,0,8.7125,C,0
586,female,1,18,2,79.65,S,1
587,male,2,47,0,15,S,0
588,male,1,60,2,79.2,C,1
589,male,3,22,0,8.05,S,0
590,male,3,,0,8.05,S,0
591,male,3,35,0,7.125,S,0
592,female,1,52,1,78.2667,C,1
593,male,3,47,0,7.25,S,0
594,female,3,,2,7.75,Q,0
595,male,2,37,1,26,S,0
596,male,3,36,2,24.15,S,0
597,female,2,,0,33,S,1
598,male,3,49,0,0,S,0
599,male,3,,0,7.225,C,0
600,male,1,49,1,56.9292,C,1
601,female,2,24,3,27,S,1
602,male,3,,0,7.8958,S,0
603,male,1,,0,42.4,S,0
604,male,3,44,0,8.05,S,0
605,male,1,35,0,26.55,C,1
606,male,3,36,1,15.55,S,0
607,male,3,30,0,7.8958,S,0
608,male,1,27,0,30.5,S,1
609,female,2,22,3,41.5792,C,1
610,female,1,40,0,153.4625,S,1
611,female,3,39,6,31.275,S,0
612,male,3,,0,7.05,S,0
613,female,3,,1,15.5,Q,1
614,male,3,,0,7.75,Q,0
615,male,3,35,0,8.05,S,0
616,female,2,24,3,65,S,1
617,male,3,34,2,14.4,S,0
618,female,3,26,1,16.1,S,0
619,female,2,4,3,39,S,1
620,male,2,26,0,10.5,S,0
621,male,3,27,1,14.4542,C,0
622,male,1,42,1,52.5542,S,1
623,male,3,20,2,15.7417,C,1
624,male,3,21,0,7.8542,S,0
625,male,3,21,0,16.1,S,0
626,male,1,61,0,32.3208,S,0
627,male,2,57,0,12.35,Q,0
628,female,1,21,0,77.9583,S,1
629,male,3,26,0,7.8958,S,0
630,male,3,,0,7.7333,Q,0
631,male,1,80,0,30,S,1
632,male,3,51,0,7.0542,S,0
633,male,1,32,0,30.5,C,1
634,male,1,,0,0,S,0
635,female,3,9,5,27.9,S,0
636,female,2,28,0,13,S,1
637,male,3,32,0,7.925,S,0
638,male,2,31,2,26.25,S,0
639,female,3,41,5,39.6875,S,0
640,male,3,,1,16.1,S,0
641,male,3,20,0,7.8542,S,0
642,female,1,24,0,69.3,C,1
643,female,3,2,5,27.9,S,0
644,male,3,,0,56.4958,S,1
645,female,3,0.75,3,19.2583,C,1
646,male,1,48,1,76.7292,C,1
647,male,3,19,0,7.8958,S,0
648,male,1,56,0,35.5,C,1
649,male,3,,0,7.55,S,0
650,female,3,23,0,7.55,S,1
651,male,3,,0,7.8958,S,0
652,female,2,18,1,23,S,1
653,male,3,21,0,8.4333,S,0
654,female,3,,0,7.8292,Q,1
